"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"2";"";"1X02_5MM_SCREW";"W237-102";"X15, X16";"WAGO SCREW CLAMP";"";"237-102";"unknown";"70K9898";"";"";
"1";"";"LM2596S";"TO263-5";"IC3";"STEP-DOWN VOLTAGE REGULATOR";"";"";"";"";"0";"";
"1";"";"PINHD-1X3";"1X03";"JP10";"PIN HEADER";"";"";"";"";"92";"";
"1";"";"PINHD-1X4";"1X04";"JP6";"PIN HEADER";"";"";"";"";"91";"";
"1";"";"PINHD-1X5";"1X05";"JP5";"PIN HEADER";"";"";"";"";"69";"";
"3";"";"SJ";"SJ";"SJ1, SJ3, SJ6";"SMD solder JUMPER";"";"";"";"";"";"";
"2";"";"SJ2W";"SJ_2";"SJ4, SJ5";"SMD solder JUMPER";"";"";"";"";"7";"";
"1";"";"SJ2WW";"SJ_2W";"SJ2";"SMD solder JUMPER";"";"";"";"";"1";"";
"1";"0";"R-EU_R0805W";"R0805W";"R57";"RESISTOR, European symbol";"";"";"";"";"3";"R";
"7";"0.1uF";"C-EUC0805";"C0805";"C1, C4, C5, C6, C7, C14, C15";"CAPACITOR, European symbol";"";"";"";"";"88";"C";
"32";"10K";"R-EU_R0805";"R0805";"R1, R2, R3, R4, R6, R10, R11, R12, R16, R17, R18, R22, R23, R24, R28, R29, R30, R34, R35, R36, R40, R41, R42, R48, R49, R50, R51, R52, R55, R56, R58, R61";"RESISTOR, European symbol";"";"";"";"";"86";"R";
"1";"16MHz";"CRYSTALHC49UP";"HC49UP";"Q1";"CRYSTAL";"";"";"unknown";"unknown";"19";"";
"25";"1K";"R-EU_R0805";"R0805";"R7, R8, R9, R13, R14, R15, R19, R20, R21, R25, R26, R27, R31, R32, R33, R37, R38, R39, R43, R44, R45, R46, R47, R53, R54";"RESISTOR, European symbol";"";"";"";"";"86";"R";
"2";"1K5";"R-EU_R0805";"R0805";"R59, R62";"RESISTOR, European symbol";"";"";"";"";"86";"R";
"1";"220uF";"CPOL-US140CLH-0810";"140CLH-0810";"C17";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"0";"C";
"2";"22pF";"C-EUC0805";"C0805";"C2, C3";"CAPACITOR, European symbol";"";"";"";"";"88";"C";
"1";"4.7uF";"C-EUC0805";"C0805";"C13";"CAPACITOR, European symbol";"";"";"";"";"88";"C";
"2";"470";"R-EU_R0805";"R0805";"R60, R63";"RESISTOR, European symbol";"";"";"";"";"86";"R";
"2";"470uF";"CPOL-US140CLH-0810";"140CLH-0810";"C10, C12";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"0";"C";
"2";"47nF";"C-EUC0805";"C0805";"C8, C9";"CAPACITOR, European symbol";"";"";"";"";"88";"C";
"1";"47uF";"C-EUC0805";"C0805";"C11";"CAPACITOR, European symbol";"";"";"";"";"88";"C";
"1";"680uF";"CPOL-US140CLH-0810";"140CLH-0810";"C16";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"0";"C";
"1";"6_PIN_SERIAL_CABLEPTH";"6_PIN_SERIAL_CABLEPTH";"FTDI_BASIC";"J1";"6-pin header connection for use with the "FTDI BASIC" pinout - CABLE SIDE.";"";"";"";"";"";"";
"2";"74LS595D";"74LS595D";"SO16";"IC1, IC2";"8-bit SHIFT REGISTER, output latch";"";"";"";"";"0";"";
"1";"AD5141ADLFCSP3";"AD5141ADLFCSP3";"QFN50P300X300X80-17T160N";"U4";"";"";"";"";"";"";"";
"16";"AO3414SOT23";"AO3414SOT23";"SOT95P240X110-3N";"Q2, Q3, Q4, Q8, Q9, Q10, Q14, Q15, Q16, Q20, Q21, Q22, Q23, Q24, Q25, Q26";"";"";"";"";"";"";"";
"9";"AO3415";"AO3415";"SOT95P240X110-3N";"Q5, Q6, Q7, Q11, Q12, Q13, Q17, Q18, Q19";"";"";"";"";"";"";"";
"1";"ATMEGA328PBTQFP-32";"ATMEGA328PBTQFP-32";"QFP80P900X900X120-32N";"U1";"";"";"";"";"";"";"";
"1";"AVRISP-6";"AVRISP-6";"AVRISP";"ISP1";"AVR ISP HEADER";"";"";"";"";"";"";
"2";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"AF1, AF2";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";"";
"4";"JST-XH-02-PIN-LONG-PAD";"JST-XH-02-PIN-LONG-PAD";"JST-XH-02-PACKAGE-LONG-PAD";"X18, X19, X20, X21";"JST XH Connector 2 Pin";"";"";"";"";"";"";
"4";"JST-XH-03-PIN-LONG-PAD";"JST-XH-03-PIN-LONG-PAD";"JST-XH-03-PACKAGE-LONG-PAD";"X22, X23, X24, X25";"JST XH Connector 2 Pin";"";"";"";"";"";"";
"4";"JST-XH-06-PIN-LONG-PAD";"JST-XH-06-PIN-LONG-PAD";"JST-XH-06-PACKAGE-LONG-PAD";"X1, X2, X4, X5";"JST XH Connector 2 Pin";"";"";"";"";"";"";
"1";"JST-XH-07-PIN-LONG-PAD";"JST-XH-07-PIN-LONG-PAD";"JST-XH-07-PACKAGE-LONG-PAD";"X3";"JST XH Connector 2 Pin";"";"";"";"";"";"";
"9";"JST-XH-08-PIN-LONG-PAD";"JST-XH-08-PIN-LONG-PAD";"JST-XH-08-PACKAGE-LONG-PAD";"X6, X7, X8, X9, X10, X11, X12, X13, X14";"JST XH Connector 2 Pin";"";"";"";"";"";"";
"2";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"JP1, JP2";"Normally closed trace jumper (1 of 2 connections)";"";"";"";"";"";"";
"1";"LM380NDIP14";"LM380NDIP14";"DIP762W53P254L1969H508Q14B";"U2";"";"";"";"";"";"";"";
"1";"MOMENTARYBUTTON";"MOMENTARYBUTTON";"SPST_NO_SMD";"RESET";"";"";"";"";"";"";"";
"2";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"H1, H2";"MOUNTING HOLE with drill center marker";"";"";"";"";"3";"";
"1";"SLD10D40S100MTT";"SLD10D40S100MTT";"SMD10.5X10.3";"L1";"";"";"";"";"";"";"";
"1";"SS34";"SS34";"SMA";"D1";"";"";"";"";"";"";"";
"1";"SSM2305ADMSOP8_2";"SSM2305ADMSOP8_2";"SOP65P490X95-8N";"U3";"";"";"";"";"";"";"";
"1";"USBMICRO";"USBMICRO";"USBMICRO";"U$1";"";"";"";"";"";"";"";
